ehr,maht,koetavPind,ehitisalunePind,maxKorrusteArv
120863258,70900.0,12263.8,3116.8,18
101019414,1520.0,0,227.0,2
121366297,21500.0,5616.8,489.0,16
121281521,3879.8,934.0,584.3,2
121281541,4061.4,978.2,637.4,2
121396267,3874.4,930.1,583.5,2
120217240,516.0,140.0,117.0,2
120218032,350.0,98.0,117.0,2
120230405,296.0,83.0,99.0,1
112016804,12973.0,0,707.0,5
112016810,14703.0,2446.0,773.0,5
112017313,13297.0,0,765.7,5
